,Type,Expiry,Strike,PV,Bid,Mid,Ask,Diff,BadDiff
236,call,24/01/2020,1690,1.37E-05,0,1.2,2.4,1.199986333,0
237,call,24/01/2020,1700,7.03E-06,0,0.4,0.8,0.399992975,0
238,call,24/01/2020,1710,2.18E-06,0,0.4,0.8,0.399997817,0
239,call,24/01/2020,1720,1.23E-06,0,0.825,1.65,0.824998774,0
240,call,24/01/2020,1730,3.27E-07,0,0.4,0.8,0.399999673,0
241,call,24/01/2020,1740,1.97E-07,0,0.4,0.8,0.399999803,0
242,call,24/01/2020,1750,6.62E-08,0,0.875,1.75,0.874999934,0
243,call,24/01/2020,1760,2.94E-08,0,0.875,1.75,0.874999971,0
244,call,24/01/2020,1770,1.25E-08,0,0.375,0.75,0.374999988,0
245,call,24/01/2020,1780,4.14E-09,0,0.375,0.75,0.374999996,0
246,call,24/01/2020,1790,2.04E-09,0,0.375,0.75,0.374999998,0
247,call,24/01/2020,1800,5.52E-10,0,0.05,0.1,0.049999999,0
248,call,24/01/2020,1810,3.02E-10,0,0.225,0.45,0.225,0
249,call,24/01/2020,1820,7.03E-11,0,0.225,0.45,0.225,0
250,call,24/01/2020,1830,4.15E-11,0,0.225,0.45,0.225,0
251,call,24/01/2020,1840,1.26E-11,0,0.225,0.45,0.225,0
252,call,24/01/2020,1850,5.38E-12,0,0.225,0.45,0.225,0
253,call,24/01/2020,1860,2.17E-12,0,0.225,0.45,0.225,0
254,call,24/01/2020,1870,6.64E-13,0,0.225,0.45,0.225,0
255,call,24/01/2020,1880,3.17E-13,0,0.225,0.45,0.225,0
256,call,24/01/2020,1890,7.85E-14,0,0.025,0.05,0.025,0
257,call,24/01/2020,1900,4.20E-14,0,0.025,0.05,0.025,0
258,call,31/01/2020,950,532.4030845,531.2,533.6,536,1.196915527,0
259,call,31/01/2020,960,522.4111876,521.4,523.5,525.6,1.088812375,0
260,call,31/01/2020,970,512.4192908,511.4,513.5,515.6,1.080709224,0
261,call,31/01/2020,980,502.4273939,501.4,503.5,505.6,1.072606072,0
262,call,31/01/2020,990,492.4354971,491.2,493.7,496.2,1.264502921,0
263,call,31/01/2020,1000,482.4436002,481.2,483.7,486.2,1.256399769,0
264,call,31/01/2020,1005,477.4476518,476.2,478.6,481,1.152348193,0
265,call,31/01/2020,1010,472.4517034,471,473.5,476,1.048296618,0
266,call,31/01/2020,1015,467.455755,466,468.5,471,1.044245042,0
267,call,31/01/2020,1020,462.4598065,461,463.5,466,1.040193466,0
268,call,31/01/2020,1025,457.4638581,456,458.5,461,1.03614189,0
269,call,31/01/2020,1030,452.4679097,451,453.5,456,1.032090314,0
270,call,31/01/2020,1035,447.4719613,446,448.5,451,1.028038739,0
271,call,31/01/2020,1040,442.4760128,441,443.55,446.1,1.073987163,0
272,call,31/01/2020,1045,437.4800644,436,438.55,441.1,1.069935587,0
273,call,31/01/2020,1050,432.484116,431,433.55,436.1,1.065884011,0
274,call,31/01/2020,1055,427.4881676,426,428.5,431,1.011832436,0
275,call,31/01/2020,1060,422.4922191,421,423.5,426,1.00778086,0
276,call,31/01/2020,1065,417.4962707,416,418.5,421,1.003729284,0
277,call,31/01/2020,1070,412.5003223,411.2,413.6,416,1.099677708,0
278,call,31/01/2020,1075,407.5043739,406.2,408.6,411,1.095626132,0
279,call,31/01/2020,1080,402.5084254,401.2,403.6,406,1.091574557,0
280,call,31/01/2020,1085,397.512477,396,398.55,401.1,1.037522981,0
281,call,31/01/2020,1090,392.5165286,391,393.55,396.1,1.033471405,0
282,call,31/01/2020,1095,387.5205802,386,388.5,391,0.979419829,0
283,call,31/01/2020,1100,382.5246317,381.3,383.7,386.1,1.175368253,0
284,call,31/01/2020,1105,377.5286833,376.3,378.7,381.1,1.171316677,0
285,call,31/01/2020,1110,372.5327349,371.3,373.7,376.1,1.167265101,0
286,call,31/01/2020,1115,367.5367865,366.5,368.6,370.7,1.063213524,0
287,call,31/01/2020,1120,362.5408381,361.3,363.5,365.7,0.959161948,0
288,call,31/01/2020,1125,357.5448896,356.5,358.6,360.7,1.05511037,0
289,call,31/01/2020,1130,352.5489412,351.5,353.6,355.7,1.051058789,0
290,call,31/01/2020,1135,347.5529928,346.5,348.6,350.7,1.047007208,0
291,call,31/01/2020,1140,342.5570444,341.5,343.6,345.7,1.042955627,0
292,call,31/01/2020,1145,337.561096,336.5,338.6,340.7,1.038904046,0
293,call,31/01/2020,1150,332.5651476,331.3,333.8,336.3,1.234852433,0
294,call,31/01/2020,1155,327.5691992,326.3,328.8,331.3,1.230800816,0
295,call,31/01/2020,1160,322.5732508,321.3,323.8,326.3,1.2267492,0
296,call,31/01/2020,1165,317.5773024,316.1,318.6,321.1,1.022697584,0
297,call,31/01/2020,1170,312.5813541,311.1,313.6,316.1,1.018645856,0
298,call,31/01/2020,1175,307.585406,306.1,308.6,311.1,1.014593983,0
299,call,31/01/2020,1180,302.5894579,301.1,303.6,306.1,1.01054211,0
300,call,31/01/2020,1185,297.5935098,296.1,298.6,301.1,1.006490237,0
301,call,31/01/2020,1190,292.5975616,291.1,293.6,296.1,1.002438364,0
302,call,31/01/2020,1195,287.6016151,286.1,288.65,291.2,1.04838491,0
303,call,31/01/2020,1200,282.6056686,281.1,283.65,286.2,1.044331358,0
304,call,31/01/2020,1205,277.6097222,276.1,278.65,281.2,1.040277806,0
305,call,31/01/2020,1210,272.6137757,271.1,273.6,276.1,0.986224254,0
306,call,31/01/2020,1215,267.6178338,266.1,268.6,271.1,0.982166241,0
307,call,31/01/2020,1220,262.6218972,261.1,263.6,266.1,0.978102776,0
308,call,31/01/2020,1225,257.6259607,256.3,258.7,261.1,1.074039311,0
309,call,31/01/2020,1230,252.6300242,251.3,253.7,256.1,1.069975846,0
310,call,31/01/2020,1235,247.6340876,246.3,248.7,251.1,1.065912381,0
311,call,31/01/2020,1240,242.6382015,241.1,243.65,246.2,1.01179847,0
312,call,31/01/2020,1245,237.6423176,236.1,238.65,241.2,1.007682365,0
313,call,31/01/2020,1247.5,235.1443757,233.6,236.15,238.7,1.005624313,0
314,call,31/01/2020,1250,232.6464337,231.4,233.8,236.2,1.153566261,0
315,call,31/01/2020,1252.5,230.1484918,228.9,231.3,233.7,1.151508208,0
316,call,31/01/2020,1255,227.6505498,226.4,228.8,231.2,1.149450156,0
317,call,31/01/2020,1257.5,225.1526079,223.9,226.3,228.7,1.147392104,0
318,call,31/01/2020,1260,222.6547828,221.4,223.8,226.2,1.145217212,0
319,call,31/01/2020,1262.5,220.156966,218.9,221.25,223.6,1.093033974,0
320,call,31/01/2020,1265,217.6591493,216.4,218.8,221.2,1.140850736,0
