,Type,Expiry,Strike,PV,Bid,Mid,Ask,Diff,BadDiff
148,put,2020-01-24,1465.0,4.676204879779499,3.2,3.5,3.8,1.1762048797794993,0.8762048797794995
149,put,2020-01-24,1467.5,5.5114522269881645,3.9,4.2,4.5,1.3114522269881643,1.0114522269881645
150,put,2020-01-24,1470.0,6.346718232728199,4.7,5.0,5.3,1.3467182327281986,1.0467182327281987
151,put,2020-01-24,1472.5,7.18201539451278,5.4,5.800000000000001,6.2,1.3820153945127789,0.9820153945127794
152,put,2020-01-24,1475.0,8.017364280508032,6.3,6.699999999999999,7.1,1.3173642805080323,0.917364280508032
153,put,2020-01-24,1477.5,8.852819360666249,7.3,7.75,8.2,1.102819360666249,0.6528193606662498
154,put,2020-01-24,1480.0,9.688554017643828,8.3,8.850000000000001,9.4,0.8385540176438262,0.28855401764382727
155,put,2020-01-24,1482.5,10.614707416909589,9.6,10.2,10.8,0.41470741690958945,0
156,put,2020-01-24,1485.0,12.34449509951498,11.3,11.7,12.1,0.6444950995149803,0.24449509951497994
157,put,2020-01-24,1487.5,14.07432158372959,12.6,13.149999999999999,13.7,0.9243215837295917,0.374321583729591
158,put,2020-01-24,1490.0,15.804201144206198,14.2,14.8,15.4,1.0042011442061973,0.4042011442061977
159,put,2020-01-24,1492.5,17.53416051489498,15.9,16.5,17.1,1.0341605148949817,0.4341605148949803
160,put,2020-01-24,1495.0,19.264238974129693,17.7,18.299999999999997,18.9,0.964238974129696,0.3642389741296945
161,put,2020-01-24,1497.5,20.99451895288961,19.4,20.2,21.0,0.7945189528896108,0
162,put,2020-01-24,1500.0,22.725179350851487,21.3,22.15,23.0,0.5751793508514886,0
163,put,2020-01-24,1502.5,24.456733060222653,23.1,24.1,25.1,0.35673306022265194,0
164,put,2020-01-24,1505.0,26.246377616509495,24.8,26.200000000000003,27.6,0.046377616509492015,0
165,put,2020-01-24,1507.5,28.45570657479659,26.8,28.35,29.9,0.10570657479658863,0
166,put,2020-01-24,1510.0,30.665151472415655,29.3,30.200000000000003,31.1,0.465151472415652,0
167,put,2020-01-24,1512.5,32.87475629677346,31.1,32.900000000000006,34.7,0.025243703226543346,0
168,put,2020-01-24,1515.0,35.08456663551154,32.2,34.55,36.9,0.5345666355115455,0
169,put,2020-01-24,1517.5,37.29468505992592,34.7,37.0,39.3,0.29468505992591787,0
170,put,2020-01-24,1520.0,39.5053039313332,37.3,39.349999999999994,41.4,0.15530393133320786,0
171,put,2020-01-24,1522.5,41.716831313501636,39.5,41.6,43.7,0.11683131350163478,0
172,put,2020-01-24,1525.0,43.93029180819602,41.8,44.0,46.2,0.0697081918039828,0
173,put,2020-01-24,1527.5,46.17419421974262,43.7,46.25,48.8,0.07580578025738305,0
174,put,2020-01-24,1530.0,48.58529655148657,46.4,48.8,51.2,0.2147034485134256,0
175,put,2020-01-24,1532.5,50.99668405665248,49.2,51.2,53.2,0.20331594334752623,0
176,put,2020-01-24,1535.0,53.40843518945988,51.6,53.6,55.6,0.19156481054012175,0
177,put,2020-01-24,1537.5,55.820679837427654,54.0,56.0,58.0,0.1793201625723455,0
178,put,2020-01-24,1540.0,58.23371103010609,56.4,58.4,60.4,0.1662889698939054,0
179,put,2020-01-24,1542.5,60.6475373415093,58.8,60.849999999999994,62.9,0.20246265849069545,0
180,put,2020-01-24,1545.0,63.062528438687174,61.2,63.35,65.5,0.28747156131282736,0
181,put,2020-01-24,1547.5,65.479926806961,63.0,65.25,67.5,0.22992680696100365,0
182,put,2020-01-24,1550.0,67.91082800281896,65.9,68.0,70.1,0.0891719971810403,0
183,put,2020-01-24,1552.5,70.39037831763291,68.3,70.44999999999999,72.6,0.0596216823670801,0
184,put,2020-01-24,1555.0,72.87038232348655,70.3,72.8,75.3,0.07038232348655526,0
185,put,2020-01-24,1557.5,75.35100719595235,73.2,75.35,77.5,0.0010071959523543228,0
186,put,2020-01-24,1560.0,77.8325102252944,75.2,77.65,80.1,0.18251022529439354,0
187,put,2020-01-24,1562.5,80.31530339395009,77.5,80.0,82.5,0.31530339395008866,0
188,put,2020-01-24,1565.0,82.80007720065412,80.1,82.5,84.9,0.3000772006541155,0
189,put,2020-01-24,1567.5,85.28888149238645,82.6,84.85,87.1,0.43888149238645724,0
190,put,2020-01-24,1570.0,87.77825097348854,84.9,87.45,90.0,0.3282509734885366,0
191,put,2020-01-24,1572.5,90.26940252612596,87.3,89.75,92.2,0.5194025261259583,0
192,put,2020-01-24,1575.0,92.76681274737727,90.0,92.25,94.5,0.5168127473772728,0
193,put,2020-01-24,1577.5,95.26426684473869,92.7,94.95,97.2,0.3142668447386825,0
194,put,2020-01-24,1580.0,97.76178151943265,95.2,97.55000000000001,99.9,0.211781519432634,0
195,put,2020-01-24,1582.5,100.25938307969788,97.4,99.80000000000001,102.2,0.4593830796978722,0
196,put,2020-01-24,1585.0,102.7571148113951,99.9,102.4,104.9,0.3571148113950926,0
197,put,2020-01-24,1587.5,105.25505184407227,102.7,104.80000000000001,106.9,0.4550518440722584,0
198,put,2020-01-24,1590.0,107.75333061948501,104.8,107.1,109.4,0.6533306194850184,0
199,put,2020-01-24,1592.5,110.25231641503233,107.3,109.8,112.3,0.4523164150323282,0
200,put,2020-01-24,1595.0,112.75158810810927,109.9,112.25,114.6,0.5015881081092743,0
201,put,2020-01-24,1597.5,115.25137198042829,112.3,114.8,117.3,0.4513719804282914,0
202,put,2020-01-24,1600.0,117.75115919379908,114.8,117.3,119.8,0.45115919379908576,0
203,put,2020-01-24,1602.5,120.25095106926554,117.3,119.65,122.0,0.600951069265534,0
204,put,2020-01-24,1605.0,122.75074963054703,120.1,122.19999999999999,124.3,0.5507496305470454,0
205,put,2020-01-24,1607.5,125.25055828247808,122.6,124.8,127.0,0.4505582824780845,0
206,put,2020-01-24,1610.0,127.7503829416027,124.7,127.1,129.5,0.6503829416027003,0
207,put,2020-01-24,1612.5,130.25023448880643,127.3,129.65,132.0,0.6002344888064215,0
208,put,2020-01-24,1615.0,132.75014365499445,129.9,132.2,134.5,0.5501436549944572,0
209,put,2020-01-24,1617.5,135.2500989067354,132.3,134.65,137.0,0.6000989067353828,0
210,put,2020-01-24,1620.0,137.75008532559244,134.8,137.15,139.5,0.6000853255924312,0
211,put,2020-01-24,1622.5,140.25007194752484,137.2,139.6,142.0,0.6500719475248502,0
212,put,2020-01-24,1625.0,142.75005885259392,139.7,142.2,144.7,0.5500588525939349,0
213,put,2020-01-24,1627.5,145.25004616308914,142.2,144.7,147.2,0.5500461630891493,0
214,put,2020-01-24,1630.0,147.75003408540272,144.7,147.2,149.7,0.5500340854027286,0
215,put,2020-01-24,1632.5,150.25002297592656,147.2,149.7,152.2,0.5500229759265665,0
216,put,2020-01-24,1635.0,152.75001349109343,149.7,152.2,154.7,0.5500134910934378,0
217,put,2020-01-24,1637.5,155.25000725470196,152.5,154.85,157.2,0.4000072547019613,0
218,put,2020-01-24,1640.0,157.7500050546727,155.0,157.2,159.4,0.5500050546727095,0
219,put,2020-01-24,1642.5,160.25000436801793,157.5,159.7,161.9,0.5500043680179374,0
220,put,2020-01-24,1645.0,162.75000369063773,160.0,162.2,164.4,0.5500036906377375,0
221,put,2020-01-24,1647.5,165.25000302623434,162.5,164.7,166.9,0.55000302623435,0
222,put,2020-01-24,1650.0,167.75000238042398,165.0,167.1,169.2,0.6500023804239845,0
223,put,2020-01-24,1652.5,170.25000176268114,167.5,169.6,171.7,0.6500017626811427,0
224,put,2020-01-24,1655.0,172.75000118940352,170.0,172.2,174.4,0.550001189403531,0
225,put,2020-01-24,1657.5,175.25000069083617,172.5,174.6,176.7,0.6500006908361797,0
226,put,2020-01-24,1660.0,177.75000032496186,175.0,177.2,179.4,0.5500003249618715,0
227,put,2020-01-24,1662.5,180.2500002202392,177.5,179.6,181.7,0.6500002202392068,0
228,put,2020-01-24,1665.0,182.75000019081622,180.0,182.1,184.2,0.650000190816229,0
229,put,2020-01-24,1667.5,185.2500001617504,182.5,184.6,186.7,0.6500001617503983,0
230,put,2020-01-24,1670.0,187.75000013318268,185.0,187.1,189.2,0.6500001331826866,0
231,put,2020-01-24,1672.5,190.2500001053301,187.5,189.6,191.7,0.6500001053300934,0
232,put,2020-01-24,1675.0,192.7500000785596,190.0,192.1,194.2,0.6500000785596001,0
233,put,2020-01-24,1677.5,195.25000005350086,192.5,194.6,196.7,0.650000053500861,0
234,put,2020-01-24,1680.0,197.75000003132746,195.0,197.1,199.2,0.6500000313274654,0
235,put,2020-01-24,1682.5,200.25000001429012,197.5,199.6,201.7,0.6500000142901285,0
236,put,2020-01-24,1690.0,207.75000000623504,205.0,207.1,209.2,0.6500000062350466,0
237,put,2020-01-24,1700.0,217.75000000213336,215.0,217.1,219.2,0.6500000021333676,0
238,put,2020-01-24,1710.0,227.75000000025278,225.0,227.1,229.2,0.6500000002527884,0
239,put,2020-01-24,1720.0,237.75000000010857,235.0,237.1,239.2,0.6500000001085766,0
240,put,2020-01-24,1730.0,247.75000000000944,245.0,247.1,249.2,0.6500000000094417,0
241,put,2020-01-24,1740.0,257.7500000000042,255.0,257.1,259.2,0.6500000000041837,0
242,put,2020-01-24,1750.0,267.7500000000004,265.0,267.1,269.2,0.6500000000003752,0
243,put,2020-01-24,1760.0,277.75,275.0,277.1,279.2,0.6499999999999773,0
244,put,2020-01-24,1770.0,287.75,285.0,287.1,289.2,0.6499999999999773,0
245,put,2020-01-24,1780.0,297.75,295.0,297.1,299.2,0.6499999999999773,0
246,put,2020-01-24,1790.0,307.75,305.0,307.1,309.2,0.6499999999999773,0
247,put,2020-01-24,1800.0,317.75,315.0,317.1,319.2,0.6499999999999773,0
248,put,2020-01-24,1810.0,327.75,325.0,327.1,329.2,0.6499999999999773,0
249,put,2020-01-24,1820.0,337.75,335.0,337.1,339.2,0.6499999999999773,0
250,put,2020-01-24,1830.0,347.75,345.0,347.1,349.2,0.6499999999999773,0
251,put,2020-01-24,1840.0,357.75,355.0,357.1,359.2,0.6499999999999773,0
252,put,2020-01-24,1850.0,367.75,365.0,367.1,369.2,0.6499999999999773,0
253,put,2020-01-24,1860.0,377.75,375.0,377.1,379.2,0.6499999999999773,0
254,put,2020-01-24,1870.0,387.7500000000001,385.0,387.1,389.2,0.650000000000091,0
255,put,2020-01-24,1880.0,397.75,395.0,397.1,399.2,0.6499999999999773,0
256,put,2020-01-24,1890.0,407.75,405.0,407.1,409.2,0.6499999999999773,0
257,put,2020-01-24,1900.0,417.75,415.0,417.1,419.2,0.6499999999999773,0
258,put,2020-01-31,950.0,5.534372112898118e-19,0.0,0.2,0.4,0.2,0
259,put,2020-01-31,960.0,1.2579477955866975e-18,0.0,0.2,0.4,0.2,0
260,put,2020-01-31,970.0,7.557086646437788e-18,0.0,0.2,0.4,0.2,0
261,put,2020-01-31,980.0,2.1297324775077236e-17,0.0,0.2,0.4,0.19999999999999998,0
262,put,2020-01-31,990.0,7.763673591786128e-17,0.0,0.2,0.4,0.19999999999999993,0
263,put,2020-01-31,1000.0,3.237172042321484e-16,0.0,0.2,0.4,0.19999999999999968,0
264,put,2020-01-31,1005.0,4.467605268553043e-16,0.0,0.2,0.4,0.19999999999999957,0
265,put,2020-01-31,1010.0,5.698108000990738e-16,0.0,0.2,0.4,0.19999999999999943,0
266,put,2020-01-31,1015.0,2.354666835809546e-15,0.0,0.2,0.4,0.19999999999999765,0
267,put,2020-01-31,1020.0,4.376872913583875e-15,0.0,0.2,0.4,0.19999999999999563,0
268,put,2020-01-31,1025.0,6.39910764307989e-15,0.0,0.2,0.4,0.1999999999999936,0
269,put,2020-01-31,1030.0,8.42142773174065e-15,0.0,0.2,0.4,0.1999999999999916,0
270,put,2020-01-31,1035.0,2.1351184640571798e-14,0.0,0.2,0.4,0.19999999999997867,0
271,put,2020-01-31,1040.0,5.1825352504907395e-14,0.0,0.2,0.4,0.1999999999999482,0
272,put,2020-01-31,1045.0,8.229981774730195e-14,0.0,0.2,0.4,0.19999999999991772,0
273,put,2020-01-31,1050.0,1.1277511068497221e-13,0.0,0.2,0.4,0.19999999999988724,0
274,put,2020-01-31,1055.0,1.4325305568860005e-13,0.0,0.2,0.4,0.19999999999985676,0
275,put,2020-01-31,1060.0,5.216419578362204e-13,0.0,0.2,0.4,0.19999999999947837,0
276,put,2020-01-31,1065.0,9.422897543348688e-13,0.0,0.2,0.4,0.1999999999990577,0
277,put,2020-01-31,1070.0,1.3629447534002684e-12,0.0,0.2,0.4,0.19999999999863707,0
278,put,2020-01-31,1075.0,1.7836238572125218e-12,0.0,0.2,0.4,0.19999999999821638,0
279,put,2020-01-31,1080.0,4.160865991956877e-12,0.0,0.2,0.4,0.19999999999583915,0
280,put,2020-01-31,1085.0,9.47251149774001e-12,0.0,0.2,0.4,0.1999999999905275,0
281,put,2020-01-31,1090.0,1.478421749252794e-11,0.0,0.2,0.4,0.19999999998521578,0
282,put,2020-01-31,1095.0,2.0096105606632083e-11,0.0,0.2,0.4,0.1999999999799039,0
